session_id,user_id,session_start,session_end,session_duration_sec,session_number,days_since_registration,lessons_started,lessons_completed,screens_viewed
26,8,2026-01-28 07:12:00,2026-01-28 07:16:18,258,4,2,0,0,7
25,8,2026-01-28 12:30:00,2026-01-28 12:36:16,376,3,2,0,0,5
27,8,2026-01-29 16:33:00,2026-01-29 16:37:11,251,5,3,1,0,2
28,9,2026-01-18 11:55:58,2026-01-18 12:05:29,571,1,0,1,1,6
29,9,2026-01-18 14:04:00,2026-01-18 14:16:02,722,2,0,3,3,2
30,9,2026-01-19 20:06:00,2026-01-19 20:18:40,760,3,1,0,0,6
31,9,2026-01-20 13:41:00,2026-01-20 13:50:59,599,4,2,6,2,4
32,10,2026-01-16 17:03:00,2026-01-16 17:08:23,323,1,0,1,1,5
33,10,2026-01-19 18:44:00,2026-01-19 18:51:36,456,2,3,0,0,5
35,11,2026-01-23 08:02:00,2026-01-23 08:06:02,242,2,0,1,1,7
36,11,2026-01-23 19:19:00,2026-01-23 19:23:59,299,3,0,0,0,7
34,11,2026-01-23 23:02:12,2026-01-23 23:06:45,273,1,0,2,0,6
37,11,2026-01-24 18:11:00,2026-01-24 18:13:24,144,4,1,1,0,2
38,11,2026-01-28 16:24:00,2026-01-28 16:27:51,231,5,5,0,0,7
39,12,2026-01-31 15:42:14,2026-01-31 15:54:53,759,1,0,3,3,5
41,12,2026-02-01 21:01:00,2026-02-01 21:15:36,876,3,1,2,1,4
40,12,2026-02-01 21:38:00,2026-02-01 21:48:02,602,2,1,4,2,12
42,12,2026-02-02 17:34:00,2026-02-02 17:45:20,680,4,2,3,2,10
43,12,2026-02-05 09:39:00,2026-02-05 09:50:56,716,5,5,4,4,7
44,13,2026-01-27 21:46:00,2026-01-27 21:53:11,431,1,0,1,1,4
46,13,2026-01-28 10:24:00,2026-01-28 10:33:50,590,3,1,1,1,6
45,13,2026-01-28 17:46:00,2026-01-28 17:57:43,703,2,1,2,1,12
47,13,2026-01-29 19:07:00,2026-01-29 19:17:51,651,4,2,4,3,7
48,13,2026-01-30 18:48:00,2026-01-30 18:54:28,388,5,3,2,2,5
49,14,2026-01-27 23:42:41,2026-01-27 23:49:06,385,1,0,1,1,2
51,15,2026-01-27 08:54:00,2026-01-27 09:05:20,680,2,0,1,1,8
50,15,2026-01-27 14:44:00,2026-01-27 14:56:09,729,1,0,2,2,3
52,16,2026-01-28 13:00:00,2026-01-28 13:08:52,532,1,0,1,0,3
53,16,2026-01-28 16:10:00,2026-01-28 16:18:58,538,2,0,0,0,4
54,16,2026-01-28 17:57:00,2026-01-28 18:06:16,556,3,0,0,0,6
55,16,2026-01-28 18:41:00,2026-01-28 18:52:06,666,4,0,2,0,8
56,16,2026-01-29 19:02:00,2026-01-29 19:11:22,562,5,1,1,0,4
57,16,2026-01-30 08:38:00,2026-01-30 08:45:15,435,6,2,2,2,4
59,16,2026-01-30 09:36:00,2026-01-30 09:45:24,564,8,2,1,0,6
58,16,2026-01-30 19:24:00,2026-01-30 19:33:21,561,7,2,1,0,4
60,16,2026-02-02 14:09:00,2026-02-02 14:17:40,520,9,5,2,1,6
61,16,2026-02-02 14:35:00,2026-02-02 14:43:38,518,10,5,0,0,9
63,17,2026-01-23 08:21:00,2026-01-23 08:30:11,551,2,0,0,0,5
64,17,2026-01-23 08:31:00,2026-01-23 08:42:45,705,3,0,2,0,1
62,17,2026-01-23 18:10:47,2026-01-23 18:22:37,710,1,0,3,0,5
65,17,2026-01-27 09:31:00,2026-01-27 09:42:12,672,4,4,3,1,3
66,17,2026-01-27 19:21:00,2026-01-27 19:32:47,707,5,4,2,2,5
67,17,2026-01-28 12:48:00,2026-01-28 12:56:55,535,6,5,2,2,7
68,18,2026-01-17 22:25:00,2026-01-17 22:33:57,537,1,0,1,1,2
69,18,2026-01-19 21:08:00,2026-01-19 21:17:07,547,2,2,1,0,3
70,18,2026-01-23 10:04:00,2026-01-23 10:11:34,454,3,6,0,0,5
71,18,2026-01-23 22:58:00,2026-01-23 23:08:05,605,4,6,2,0,4
72,19,2026-01-29 08:24:00,2026-01-29 08:31:35,455,1,0,0,0,1
73,19,2026-01-29 10:40:00,2026-01-29 10:43:48,228,2,0,0,0,5
74,19,2026-01-31 09:42:00,2026-01-31 09:47:17,317,3,2,0,0,5
75,20,2026-01-22 17:50:00,2026-01-22 17:54:55,295,1,0,1,0,3
76,20,2026-01-23 07:31:00,2026-01-23 07:34:46,226,2,1,2,1,8
77,20,2026-01-23 16:24:00,2026-01-23 16:29:22,322,3,1,1,0,4
78,20,2026-01-24 11:05:00,2026-01-24 11:09:27,267,4,2,1,0,11
79,21,2026-01-23 13:26:00,2026-01-23 13:36:21,621,1,0,3,0,4
80,21,2026-01-23 16:10:00,2026-01-23 16:19:12,552,2,0,2,2,6
82,21,2026-01-24 08:17:00,2026-01-24 08:28:49,709,4,1,2,2,4
81,21,2026-01-24 10:23:00,2026-01-24 10:32:41,581,3,1,1,1,5
83,21,2026-01-28 21:34:00,2026-01-28 21:42:40,520,5,5,1,0,5
84,21,2026-01-29 21:47:00,2026-01-29 21:56:17,557,6,6,3,1,4
85,22,2026-01-21 11:28:00,2026-01-21 11:34:43,403,1,0,0,0,2
86,22,2026-01-24 16:52:00,2026-01-24 17:01:51,591,2,3,0,0,1
87,23,2026-01-18 10:41:00,2026-01-18 10:44:58,238,1,0,2,0,5
89,24,2026-01-30 09:38:00,2026-01-30 09:46:41,521,2,0,2,2,2
91,24,2026-01-30 12:57:00,2026-01-30 13:07:47,647,4,0,1,1,6
90,24,2026-01-30 16:06:00,2026-01-30 16:18:24,744,3,0,1,1,4
92,24,2026-01-30 16:40:00,2026-01-30 16:49:55,595,5,0,1,1,2
88,24,2026-01-30 18:53:12,2026-01-30 19:01:10,478,1,0,3,1,11
93,24,2026-01-31 10:59:00,2026-01-31 11:07:34,514,6,1,3,3,5
94,25,2026-01-28 12:20:00,2026-01-28 12:32:11,731,1,0,1,1,3
95,25,2026-01-29 20:01:00,2026-01-29 20:07:50,410,2,1,3,0,4
96,26,2026-01-25 23:09:49,2026-01-25 23:15:23,334,1,0,1,0,6
97,27,2026-01-21 20:13:06,2026-01-21 20:16:56,230,1,0,0,0,8
99,28,2026-01-28 07:57:00,2026-01-28 08:03:39,399,2,0,1,1,5
98,28,2026-01-29 01:37:12,2026-01-29 01:43:12,360,1,1,2,1,3
100,28,2026-01-29 11:53:00,2026-01-29 11:57:39,279,3,1,1,0,5
101,29,2026-01-24 07:27:00,2026-01-24 07:33:04,364,1,0,1,1,10
103,29,2026-01-24 12:34:00,2026-01-24 12:39:44,344,3,0,2,1,10
102,29,2026-01-24 15:20:00,2026-01-24 15:27:46,466,2,0,0,0,4
105,29,2026-01-25 13:03:00,2026-01-25 13:11:00,480,5,1,1,1,5
104,29,2026-01-25 17:55:00,2026-01-25 18:00:08,308,4,1,1,1,5
106,29,2026-01-26 10:03:00,2026-01-26 10:09:07,367,6,2,3,1,8
107,30,2026-01-22 13:59:00,2026-01-22 14:07:18,498,1,0,2,1,3
108,30,2026-01-22 18:23:00,2026-01-22 18:31:36,516,2,0,2,2,5
110,31,2026-01-22 12:42:00,2026-01-22 12:51:18,558,2,0,4,3,9
109,31,2026-01-22 20:42:00,2026-01-22 20:49:52,472,1,0,2,2,8
111,31,2026-01-25 09:24:00,2026-01-25 09:34:16,616,3,3,0,0,3
112,31,2026-01-26 17:40:00,2026-01-26 17:50:34,634,4,4,1,1,5
113,32,2026-01-18 21:33:00,2026-01-18 21:37:42,282,1,0,0,0,5
114,32,2026-01-18 21:52:00,2026-01-18 21:59:32,452,2,0,2,2,2
115,32,2026-01-25 21:26:00,2026-01-25 21:30:25,265,3,7,0,0,5
117,33,2026-01-16 13:34:00,2026-01-16 13:39:04,304,2,0,2,1,5
119,33,2026-01-16 14:28:00,2026-01-16 14:33:26,326,4,0,2,2,6
118,33,2026-01-16 16:32:00,2026-01-16 16:41:25,565,3,0,2,2,3
116,33,2026-01-16 20:56:00,2026-01-16 21:03:00,420,1,0,3,2,10
120,33,2026-01-17 13:06:00,2026-01-17 13:14:43,523,5,1,0,0,5
121,33,2026-01-21 11:40:00,2026-01-21 11:46:55,415,6,5,2,0,8
122,34,2026-01-24 12:36:00,2026-01-24 12:41:49,349,1,0,3,2,2
123,35,2026-01-30 09:38:00,2026-01-30 09:41:53,233,1,0,1,0,1
124,36,2026-01-16 11:48:00,2026-01-16 11:53:48,348,1,0,0,0,7
125,36,2026-01-17 08:43:00,2026-01-17 08:48:59,359,2,1,0,0,4
126,36,2026-01-19 17:10:00,2026-01-19 17:16:46,406,3,3,1,0,3
127,37,2026-01-29 14:16:58,2026-01-29 14:19:21,143,1,0,3,0,5
128,37,2026-01-30 10:49:00,2026-01-30 10:49:50,50,2,1,3,0,6
129,37,2026-01-31 21:23:00,2026-01-31 21:28:30,330,3,2,0,0,3
130,38,2026-01-29 08:54:00,2026-01-29 09:03:31,571,1,0,1,1,3
131,38,2026-01-29 18:16:00,2026-01-29 18:27:38,698,2,0,4,1,4
132,38,2026-01-31 10:31:00,2026-01-31 10:41:14,614,3,2,3,0,4
134,39,2026-01-19 11:50:00,2026-01-19 11:55:11,311,2,0,2,0,7
133,39,2026-01-19 18:16:04,2026-01-19 18:20:34,270,1,0,0,0,4
135,39,2026-01-19 21:49:00,2026-01-19 21:54:50,350,3,0,2,0,6
136,39,2026-01-20 12:47:00,2026-01-20 12:51:47,287,4,1,2,1,2
138,39,2026-01-22 07:41:00,2026-01-22 07:45:54,294,6,3,3,1,9
139,39,2026-01-22 11:01:00,2026-01-22 11:08:01,421,7,3,3,1,8
137,39,2026-01-22 17:10:00,2026-01-22 17:15:54,354,5,3,3,0,10
140,39,2026-01-24 19:32:00,2026-01-24 19:36:38,278,8,5,1,0,1
142,40,2026-01-25 17:25:00,2026-01-25 17:33:35,515,2,0,1,0,3
143,40,2026-01-25 18:33:00,2026-01-25 18:39:35,395,3,0,2,1,3
141,40,2026-01-25 21:08:00,2026-01-25 21:16:27,507,1,0,2,0,4
144,40,2026-01-30 17:14:00,2026-01-30 17:20:15,375,4,5,1,0,5
145,40,2026-01-31 07:25:00,2026-01-31 07:33:50,530,5,6,0,0,6
146,40,2026-02-01 13:22:00,2026-02-01 13:30:02,482,6,7,2,0,5
149,41,2026-01-17 12:36:00,2026-01-17 12:47:24,684,3,0,1,1,7
150,41,2026-01-17 12:39:00,2026-01-17 12:49:51,651,4,0,1,1,5
148,41,2026-01-17 20:24:00,2026-01-17 20:34:45,645,2,0,2,0,3
147,41,2026-01-17 21:20:48,2026-01-17 21:28:52,484,1,0,3,1,7
151,41,2026-01-18 17:38:00,2026-01-18 17:47:04,544,5,1,2,1,3
153,41,2026-01-19 12:46:00,2026-01-19 12:55:19,559,7,2,2,0,5
152,41,2026-01-19 15:41:00,2026-01-19 15:48:19,439,6,2,1,0,10
154,41,2026-01-19 19:25:00,2026-01-19 19:34:10,550,8,2,1,1,1
155,41,2026-01-20 10:54:00,2026-01-20 11:04:56,656,9,3,1,1,4
156,41,2026-01-20 18:17:00,2026-01-20 18:25:00,480,10,3,4,0,2
157,41,2026-01-21 18:55:00,2026-01-21 19:04:20,560,11,4,3,1,1
161,42,2026-01-27 12:12:00,2026-01-27 12:21:41,581,4,0,0,0,10
160,42,2026-01-27 20:43:00,2026-01-27 20:55:56,776,3,0,2,2,4
159,42,2026-01-27 20:44:00,2026-01-27 20:54:40,640,2,0,6,0,2
158,42,2026-01-27 22:42:59,2026-01-27 22:56:00,781,1,0,1,1,9
163,42,2026-01-28 18:16:00,2026-01-28 18:25:25,565,6,1,2,1,1
162,42,2026-01-28 19:44:00,2026-01-28 19:52:51,531,5,1,1,1,4
164,42,2026-02-02 19:55:00,2026-02-02 20:06:48,708,7,6,3,1,4
167,43,2026-01-26 10:19:00,2026-01-26 10:25:46,406,3,0,1,0,6
166,43,2026-01-26 17:12:00,2026-01-26 17:19:13,433,2,0,1,1,5
165,43,2026-01-26 23:42:48,2026-01-26 23:48:23,335,1,0,0,0,7
168,43,2026-01-27 14:49:00,2026-01-27 14:59:29,629,4,1,2,1,6
170,43,2026-01-29 07:07:00,2026-01-29 07:14:46,466,6,3,2,0,8
171,43,2026-01-29 15:21:00,2026-01-29 15:29:32,512,7,3,0,0,3
169,43,2026-01-29 21:31:00,2026-01-29 21:36:57,357,5,3,2,1,3
173,43,2026-01-30 14:35:00,2026-01-30 14:42:06,426,9,4,3,3,9
172,43,2026-01-30 20:08:00,2026-01-30 20:14:01,361,8,4,1,1,5
174,44,2026-01-21 19:55:00,2026-01-21 20:01:55,415,1,0,1,1,3
175,44,2026-01-21 21:08:00,2026-01-21 21:15:30,450,2,0,0,0,1
176,44,2026-01-23 17:59:00,2026-01-23 18:05:05,365,3,2,3,1,8
177,44,2026-01-26 20:39:00,2026-01-26 20:48:15,555,4,5,3,3,6
179,45,2026-01-16 19:45:00,2026-01-16 19:52:51,471,2,0,2,0,9
178,45,2026-01-16 19:51:00,2026-01-16 19:57:57,417,1,0,3,3,3
180,45,2026-01-19 09:01:00,2026-01-19 09:11:48,648,3,3,2,2,3
183,46,2026-01-31 09:09:00,2026-01-31 09:18:52,592,3,0,0,0,3
182,46,2026-01-31 18:13:00,2026-01-31 18:25:14,734,2,0,2,2,5
184,46,2026-01-31 18:18:00,2026-01-31 18:28:29,629,4,0,5,2,9
181,46,2026-01-31 20:19:00,2026-01-31 20:27:12,492,1,0,4,2,5
185,46,2026-02-03 18:18:00,2026-02-03 18:28:17,617,5,3,4,1,6
187,47,2026-01-22 07:47:00,2026-01-22 07:54:27,447,2,0,0,0,6
188,47,2026-01-22 15:44:00,2026-01-22 15:53:20,560,3,0,0,0,6
186,47,2026-01-22 16:33:00,2026-01-22 16:42:13,553,1,0,0,0,6
189,47,2026-01-24 15:48:00,2026-01-24 15:56:02,482,4,2,1,1,3
190,48,2026-01-30 17:22:00,2026-01-30 17:27:03,303,1,0,1,0,4
191,48,2026-01-31 14:07:00,2026-01-31 14:15:32,512,2,1,1,0,11
192,48,2026-02-04 20:07:00,2026-02-04 20:10:43,223,3,5,1,1,5
193,48,2026-02-05 16:38:00,2026-02-05 16:43:24,324,4,6,0,0,5
197,49,2026-01-26 11:01:00,2026-01-26 11:07:56,416,4,0,0,0,5
194,49,2026-01-26 12:58:00,2026-01-26 13:02:00,240,1,0,1,1,7
196,49,2026-01-26 18:34:00,2026-01-26 18:41:31,451,3,0,0,0,7
195,49,2026-01-26 22:35:00,2026-01-26 22:41:23,383,2,0,1,0,6
198,49,2026-01-27 18:31:00,2026-01-27 18:35:57,297,5,1,2,0,4
199,50,2026-01-28 17:34:00,2026-01-28 17:39:26,326,1,0,1,0,4
200,50,2026-01-29 14:55:00,2026-01-29 14:59:29,269,2,1,0,0,8
202,51,2026-01-27 19:08:00,2026-01-27 19:14:49,409,2,0,2,0,4
201,51,2026-01-27 22:38:20,2026-01-27 22:45:10,410,1,0,0,0,5
204,51,2026-01-29 07:36:00,2026-01-29 07:44:22,502,4,2,1,1,1
203,51,2026-01-29 08:17:00,2026-01-29 08:23:21,381,3,2,3,0,9
205,51,2026-01-30 15:40:00,2026-01-30 15:46:44,404,5,3,0,0,10
206,52,2026-01-18 17:18:00,2026-01-18 17:20:36,156,1,0,1,1,4
209,53,2026-01-21 12:06:00,2026-01-21 12:08:43,163,3,0,1,0,5
208,53,2026-01-21 13:26:00,2026-01-21 13:30:14,254,2,0,0,0,6
207,53,2026-01-21 21:53:00,2026-01-21 21:59:35,395,1,0,1,0,2
211,54,2026-01-22 08:40:00,2026-01-22 08:46:54,414,2,0,2,0,4
212,54,2026-01-22 18:59:00,2026-01-22 19:06:10,430,3,0,3,0,2
210,54,2026-01-22 23:48:19,2026-01-22 23:58:43,624,1,0,3,0,5
214,54,2026-01-26 17:26:00,2026-01-26 17:34:23,503,5,4,0,0,7
213,54,2026-01-26 22:15:00,2026-01-26 22:25:27,627,4,4,0,0,4
215,55,2026-01-23 14:27:00,2026-01-23 14:34:48,468,1,0,0,0,4
216,55,2026-01-23 15:13:00,2026-01-23 15:18:19,319,2,0,4,0,4
218,55,2026-01-24 10:17:00,2026-01-24 10:25:23,503,4,1,1,1,5
219,55,2026-01-24 16:23:00,2026-01-24 16:32:21,561,5,1,1,1,11
217,55,2026-01-24 18:41:00,2026-01-24 18:48:21,441,3,1,1,1,3
221,56,2026-01-15 09:56:00,2026-01-15 10:07:55,715,2,0,1,0,12
222,56,2026-01-15 15:57:00,2026-01-15 16:06:49,589,3,0,1,0,6
220,56,2026-01-15 18:00:00,2026-01-15 18:11:00,660,1,0,2,1,6
223,56,2026-01-16 09:11:00,2026-01-16 09:19:40,520,4,1,0,0,5
224,56,2026-01-19 14:04:00,2026-01-19 14:11:26,446,5,4,2,0,7
225,57,2026-01-24 13:17:00,2026-01-24 13:24:33,453,1,0,0,0,6
226,57,2026-01-26 11:14:00,2026-01-26 11:21:40,460,2,2,1,1,10
227,57,2026-01-28 20:48:00,2026-01-28 20:51:53,233,3,4,0,0,1
228,58,2026-01-17 22:49:00,2026-01-17 22:59:30,630,1,0,0,0,2
230,58,2026-01-20 09:25:00,2026-01-20 09:34:44,584,3,3,2,1,7
229,58,2026-01-20 16:18:00,2026-01-20 16:24:48,408,2,3,2,1,8
231,58,2026-01-21 19:18:00,2026-01-21 19:29:47,707,4,4,3,1,5
233,59,2026-01-27 10:58:00,2026-01-27 11:06:49,529,2,0,2,2,4
232,59,2026-01-27 16:25:00,2026-01-27 16:31:28,388,1,0,1,1,6
236,60,2026-01-26 11:08:00,2026-01-26 11:19:51,711,3,0,1,1,5
235,60,2026-01-26 11:35:00,2026-01-26 11:47:19,739,2,0,2,2,8
234,60,2026-01-26 15:29:02,2026-01-26 15:39:05,603,1,0,4,3,5
237,60,2026-01-27 11:42:00,2026-01-27 11:54:16,736,4,1,4,2,7
238,60,2026-01-28 19:09:00,2026-01-28 19:21:54,774,5,2,2,1,5
239,60,2026-01-29 09:54:00,2026-01-29 10:07:04,784,6,3,2,1,3
240,60,2026-01-29 10:45:00,2026-01-29 10:55:11,611,7,3,0,0,5
242,60,2026-01-31 15:06:00,2026-01-31 15:20:31,871,9,5,1,1,5
241,60,2026-01-31 21:42:00,2026-01-31 21:53:01,661,8,5,5,0,3
243,60,2026-02-01 19:46:00,2026-02-01 19:54:54,534,10,6,3,1,5
244,60,2026-02-02 16:19:00,2026-02-02 16:32:00,780,11,7,3,0,4
245,61,2026-01-30 17:22:28,2026-01-30 17:27:37,309,1,0,1,1,3
246,61,2026-01-30 17:39:00,2026-01-30 17:41:05,125,2,0,1,0,4
248,62,2026-01-27 12:23:00,2026-01-27 12:30:46,466,2,0,0,0,6
247,62,2026-01-27 16:27:00,2026-01-27 16:31:08,248,1,0,1,0,7
249,62,2026-01-30 13:10:00,2026-01-30 13:17:05,425,3,3,1,0,6
250,62,2026-01-31 17:28:00,2026-01-31 17:36:39,519,4,4,0,0,10
251,63,2026-01-21 08:48:00,2026-01-21 08:59:01,661,1,0,2,2,5
253,63,2026-01-21 12:58:00,2026-01-21 13:07:34,574,3,0,6,1,6
252,63,2026-01-21 15:51:00,2026-01-21 16:01:09,609,2,0,1,1,7
254,63,2026-01-22 12:54:00,2026-01-22 13:04:18,618,4,1,2,2,7
255,63,2026-01-23 17:33:00,2026-01-23 17:44:15,675,5,2,1,1,8
256,64,2026-01-31 13:41:00,2026-01-31 13:49:23,503,1,0,1,0,8
257,65,2026-01-22 00:55:36,2026-01-22 01:02:34,418,1,1,2,0,7
258,65,2026-01-23 20:45:00,2026-01-23 20:50:03,303,2,2,1,0,7
259,65,2026-01-27 18:00:00,2026-01-27 18:03:54,234,3,6,0,0,3
261,66,2026-01-20 11:23:00,2026-01-20 11:29:21,381,2,0,2,2,2
260,66,2026-01-20 14:09:12,2026-01-20 14:16:27,435,1,0,1,1,10
262,66,2026-01-20 22:44:00,2026-01-20 22:52:23,503,3,0,2,1,9
263,66,2026-01-24 19:18:00,2026-01-24 19:26:15,495,4,4,3,1,9
264,67,2026-01-30 10:47:30,2026-01-30 10:54:44,434,1,0,1,0,8
265,67,2026-01-30 20:11:00,2026-01-30 20:17:49,409,2,0,0,0,5
266,67,2026-02-01 11:48:00,2026-02-01 11:55:15,435,3,2,1,0,5
267,67,2026-02-02 10:57:00,2026-02-02 11:05:59,539,4,3,3,1,3
268,67,2026-02-06 13:31:00,2026-02-06 13:39:33,513,5,7,0,0,4
270,68,2026-01-21 14:31:00,2026-01-21 14:36:26,326,2,0,3,0,6
269,68,2026-01-21 18:23:00,2026-01-21 18:32:06,546,1,0,3,0,7
271,68,2026-01-25 20:40:00,2026-01-25 20:47:07,427,3,4,2,2,1
272,69,2026-01-16 13:14:00,2026-01-16 13:21:52,472,1,0,0,0,2
273,69,2026-01-16 22:47:00,2026-01-16 22:55:20,500,2,0,1,1,6
274,69,2026-01-18 08:57:00,2026-01-18 09:05:13,493,3,2,1,1,6
275,70,2026-01-23 01:23:43,2026-01-23 01:30:26,403,1,1,0,0,3
278,70,2026-01-23 13:22:00,2026-01-23 13:30:33,513,4,1,1,0,5
277,70,2026-01-23 13:38:00,2026-01-23 13:45:53,473,3,1,1,0,4
276,70,2026-01-23 21:29:00,2026-01-23 21:36:28,448,2,1,2,2,4
280,70,2026-01-24 17:08:00,2026-01-24 17:16:02,482,6,2,0,0,4
279,70,2026-01-24 17:40:00,2026-01-24 17:49:17,557,5,2,0,0,4
281,70,2026-01-25 14:50:00,2026-01-25 15:00:14,614,7,3,0,0,7
284,71,2026-01-28 09:31:00,2026-01-28 09:38:34,454,3,0,0,0,2
282,71,2026-01-28 13:35:14,2026-01-28 13:42:34,440,1,0,3,0,8
283,71,2026-01-28 14:18:00,2026-01-28 14:27:26,566,2,0,2,2,2
285,71,2026-01-29 13:54:00,2026-01-29 14:00:56,416,4,1,1,1,4
286,71,2026-01-31 10:42:00,2026-01-31 10:47:56,356,5,3,1,1,9
287,72,2026-01-18 18:46:00,2026-01-18 18:54:25,505,1,0,2,1,4
288,72,2026-01-20 11:09:00,2026-01-20 11:15:05,365,2,2,0,0,3
290,73,2026-01-22 17:48:00,2026-01-22 17:54:43,403,2,0,0,0,5
291,73,2026-01-22 19:31:00,2026-01-22 19:37:12,372,3,0,1,0,6
289,73,2026-01-22 21:34:47,2026-01-22 21:43:31,524,1,0,2,2,8
292,73,2026-01-23 11:21:00,2026-01-23 11:26:30,330,4,1,1,1,2
293,73,2026-01-24 20:18:00,2026-01-24 20:25:17,437,5,2,0,0,10
294,73,2026-01-25 17:28:00,2026-01-25 17:34:58,418,6,3,0,0,5
295,74,2026-01-17 14:50:00,2026-01-17 14:56:21,381,1,0,0,0,5
296,74,2026-01-18 21:20:00,2026-01-18 21:25:55,355,2,1,2,0,10
297,74,2026-01-20 17:59:00,2026-01-20 18:04:48,348,3,3,1,0,1
298,74,2026-01-21 11:28:00,2026-01-21 11:36:51,531,4,4,1,1,6
299,74,2026-01-22 12:37:00,2026-01-22 12:42:19,319,5,5,2,0,6
301,75,2026-01-26 15:23:00,2026-01-26 15:33:23,623,2,0,1,1,4
300,75,2026-01-26 17:10:59,2026-01-26 17:23:58,779,1,0,1,1,4
302,75,2026-01-27 09:57:00,2026-01-27 10:06:23,563,3,1,3,2,6
303,75,2026-01-29 09:30:00,2026-01-29 09:40:16,616,4,3,3,0,3
304,75,2026-01-29 21:21:00,2026-01-29 21:31:19,619,5,3,1,1,7
305,75,2026-01-30 18:57:00,2026-01-30 19:08:15,675,6,4,1,1,10
306,76,2026-01-23 18:57:00,2026-01-23 19:01:14,254,1,0,2,0,3
308,77,2026-01-20 12:05:00,2026-01-20 12:12:10,430,2,0,0,0,10
307,77,2026-01-20 14:49:12,2026-01-20 14:56:20,428,1,0,1,1,5
309,77,2026-01-21 22:23:00,2026-01-21 22:33:42,642,3,1,0,0,1
311,78,2026-01-18 07:13:00,2026-01-18 07:23:48,648,2,0,5,1,9
315,78,2026-01-18 12:23:00,2026-01-18 12:33:00,600,6,0,3,1,5
314,78,2026-01-18 12:38:00,2026-01-18 12:50:26,746,5,0,2,2,8
313,78,2026-01-18 16:45:00,2026-01-18 16:56:30,690,4,0,1,1,9
310,78,2026-01-18 20:38:44,2026-01-18 20:50:52,728,1,0,2,0,6
312,78,2026-01-18 21:29:00,2026-01-18 21:39:11,611,3,0,3,0,3
316,78,2026-01-19 16:06:00,2026-01-19 16:16:30,630,7,1,3,3,5
317,78,2026-01-22 17:49:00,2026-01-22 18:01:06,726,8,4,0,0,9
318,78,2026-01-22 22:26:00,2026-01-22 22:39:28,808,9,4,4,4,3
319,79,2026-01-24 21:07:00,2026-01-24 21:16:25,565,1,0,3,2,2
320,79,2026-01-24 21:45:00,2026-01-24 21:56:15,675,2,0,2,2,4
322,80,2026-01-26 09:21:00,2026-01-26 09:30:39,579,2,0,1,0,5
321,80,2026-01-26 22:25:00,2026-01-26 22:33:54,534,1,0,1,1,5
323,80,2026-01-26 22:39:00,2026-01-26 22:46:12,432,3,0,3,1,3
324,80,2026-01-27 19:23:00,2026-01-27 19:32:03,543,4,1,2,1,1
325,80,2026-01-29 09:47:00,2026-01-29 09:57:39,639,5,3,1,1,3
326,80,2026-01-29 14:34:00,2026-01-29 14:47:39,819,6,3,0,0,6
327,80,2026-01-30 08:34:00,2026-01-30 08:43:25,565,7,4,1,1,3
328,80,2026-01-30 15:58:00,2026-01-30 16:06:52,532,8,4,1,1,6
331,81,2026-01-30 17:44:00,2026-01-30 17:50:49,409,3,0,1,0,2
330,81,2026-01-30 19:45:00,2026-01-30 19:52:06,426,2,0,4,0,4
